"lsoa11cd","easting","northing","median_price","avg_listed_properties","avg_distance_to_station","positive_area","moderate_area","negative_area"
"E01000001",532157,181778,510000,11.5365853658536585,172.413227500607,154913.133958949595,119553.964910835334,1768.0714965012000000
"E01000002",532415,181861,525000,6.0344827586206897,283.636784268335,145374.300672157652,109842.711219690803,5390.4731420621103448
"E01000003",532163,182061,350000,7.0666666666666667,212.352993657329,155004.683900675900,138892.911334815000,1861.5704278349066667
"E01000005",533569,181402,300000,10.4666666666666667,192.117576375677,72141.328740544333,108664.401052635600,40331.096054100000
"E01000006",544823,184301,240000,,455.393867494583,423652.734225200000,570014.961354950000,215562.726707500000
"E01000007",544259,184595,212000,,309.54030715525,416689.035945500000,678682.033641000000,299025.012243500000
"E01000008",543744,184453,140000,,694.10734621361,400892.770283400000,637133.727437506000,299025.012243500000
"E01000009",544652,184376,228000,,261.244463967654,412930.743514192308,588572.808958423077,224292.109482961538
"E01000010",544373,184064,148000,1.00000000000000000000,264.999756553891,344786.404054088235,547874.458548110294,226587.543228022059
"E01000011",544370,184725,200000,,424.435008935962,397321.107049900000,580637.671755400000,275174.909614800000
"E01000012",544012,184782,160000,,668.274502478992,416689.035945500000,425305.962771502500,299025.012243500000
"E01000013",548865,184847,160000,,284.289715475664,880043.756897083333,226742.502391333333,87964.423482083333
"E01000014",548675,184952,160000,,484.486337371823,803605.933417277778,184611.256464666667,144973.968037722222
"E01000015",549489,184974,150000,,505.558445596325,825184.138868090912,618479.004830090909,127477.295573772727
"E01000016",549212,185588,157500,,875.106710840102,829117.525650777778,379451.293278388889,86436.652335388889
"E01000017",548982,185397,167000,,749.930634050413,863812.760889857143,237321.891669071429,75647.479178428571
"E01000018",549286,185277,162000,,661.177368062298,786094.545342850003,451580.732089000000,106915.425697800000
"E01000019",547164,186563,170000,,1089.74858292096,493023.608549647059,126306.586181500000,166164.896041813529
"E01000020",547377,186339,155000,,1269.59464810244,656413.228604142857,184512.750140392857,131355.143306560714
"E01000021",546838,186126,160000,,1284.23256954873,993914.789292800000,151363.181771500000,101965.420356084000
"E01000022",547221,186028,165000,,1485.78042578736,1430923.182535428571,155038.121125071429,41158.426558838571
"E01000023",546549,185598,179000,,1490.40114859044,1058480.213772621359,216760.236845043689,12444.961300000000
"E01000024",547155,185764,169000,,1305.62927186876,1357692.293581142857,180135.701971428571,21981.584199980000
"E01000025",546936,185500,158000,,1211.5368025626,1306103.784140916667,227569.945242250000,74262.303907486667
"E01000027",548215,189886,180000,,2260.86137806162,145061.093180900000,3309529.538480953000,69184.006034600000
"E01000028",547659,189585,127000,,2002.32688430231,145642.643948666667,3155500.471328166667,25773.028578500000
"E01000029",547944,188819,225000,,1359.51182732205,164785.708926884615,1918833.521373721154,22025.554607519231
"E01000030",548087,189302,176000,,1709.85831976278,156677.443470000000,2947477.702757676667,25773.028578500000
"E01000031",548327,188397,220000,,1076.393566824,152335.907020571429,1717295.148581260000,172020.333427215714
"E01000032",548016,188239,214000,,776.259428446201,155132.398538000000,1135854.736498710000,197201.344542806000
"E01000033",550051,186149,172000,,1121.54698336695,1234655.944969500010,652958.555850071429,18508.753569071429
"E01000034",551023,186783,172500,,1430.59269695719,1784855.025420666671,706793.350817277778,17739.699784611111
"E01000035",550172,185450,180000,,539.209296845352,1401424.331856000010,799753.899813000000,96452.040264500000
"E01000036",550016,185181,198000,,330.563603056238,812343.173717250010,870386.175445916667,98554.347639500000
"E01000037",551126,187044,205000,,1496.53934947476,1690603.108403710526,676311.836237078947,10885.944392736842
"E01000038",550740,187232,200000,,1425.20581946044,1183714.211223611111,800942.996472138889,98196.679282111111
"E01000039",551239,186761,192500,,1643.11562717832,2263886.613812880000,644604.440844020000,0.00000000000000000000
"E01000040",545472,184048,173000,2.0000000000000000,416.68652655599,673182.508208428571,482767.662519285714,235870.128706422857
"E01000041",546824,184228,160000,,784.654737645408,1072945.075744000000,409358.595445000000,268193.848411241250
"E01000042",545952,184173,150000,2.0000000000000000,302.037523323083,550908.098975000000,323595.314672000000,236751.537454990000
"E01000043",545690,183873,217500,2.0000000000000000,471.64160753173,510534.889708333333,515747.086409666667,287356.329382990000
"E01000044",545162,183977,183000,1.6666666666666667,664.617378587533,429105.524342461538,585318.923674884615,277407.678278000000
"E01000045",546658,183789,134000,,848.955374701113,875464.948819200000,560558.522352000000,275728.008594990000
"E01000046",547198,184058,158000,,663.406367139097,1320776.822444272727,992344.095694727273,281302.674085900909
"E01000048",544718,183430,91000,,934.659083585216,58059.988750000000,464961.572838000000,495192.155727000000
"E01000049",544683,183325,135000,,1040.4056909689,58059.988750000000,456046.784568214286,502775.099337714286
"E01000050",544762,183738,185000,,642.893599457599,330330.939710941176,511523.082626735294,398647.725099647059
"E01000051",544512,183803,134000,1.00000000000000000000,505.927978046242,347347.874146000000,494255.691681000000,344849.670453000000
"E01000052",545153,183648,149000,2.0000000000000000,863.189774676928,180963.789391722222,666436.639315166667,452341.166551775000
"E01000053",548698,183656,112000,,751.223920739146,419711.711868900000,1008897.528809500000,40290.983438100000
"E01000054",547967,184069,155000,,615.170883575938,893895.703167000000,570456.177919416667,265197.347963791667
"E01000055",547549,183951,150000,,561.129511366077,1061566.935998250000,1095790.047758125000,270807.920949996250
"E01000056",548237,183910,155000,,863.178110684619,893895.703167000000,876898.227783777778,239415.096067833333
"E01000057",547319,183995,160000,,437.426063360604,1229238.168829500000,822166.866363500000,271663.607599995000
"E01000058",548147,184449,168000,,520.571891241292,870316.412983733333,267814.435311366667,280505.057358966667
"E01000059",548476,184309,149995,,692.067210633199,895869.613662500000,324521.237932050000,277649.357858000000
"E01000060",549199,186562,158000,,1724.86436777161,689077.021319000000,640042.548499727273,2704.9980681818181818
"E01000061",549406,187033,105000,,1922.09902839456,733431.141912500000,977532.857093750000,132857.412681500000
"E01000062",549268,186116,160000,,1384.53349971208,716679.752037857143,473358.237468285714,2281.9096535714285714
"E01000063",548829,186375,160000,,1532.31526439331,666310.083694000000,330846.872697600000,13828.859140994000
"E01000064",549741,186163,142500,,1232.95953513393,1058991.847790023811,634331.315503821429,13107.170320119048
"E01000065",548509,185870,157500,,1239.8252063355,737797.242787000000,131646.913936400000,12140.126164986000
